model,English,Swahili,French,Japanese,Latvian
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-s1k-full-sft,14.583333333333334,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-english-bespoke-stratos-full-sft,15.833333333333332,,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-english-s1k-full-sft,36.666666666666664,,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-s1k-full-sft,,6.25,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-swahili-bespoke-stratos-full-sft,,7.5,,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-swahili-s1k-full-sft,,15.0,,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-french-s1k-full-sft,,,14.166666666666666,,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-french-s1k-full-sft,,,27.083333333333332,,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-japanese-s1k-full-sft,,,,5.833333333333333,
_scratch_current_joshbarua_experiments_Qwen3-8B-base-japanese-s1k-full-sft,,,,15.0,
_scratch_current_joshbarua_experiments_Qwen2.5-7B-base-latvian-s1k-full-sft,,,,,6.25
_scratch_current_joshbarua_experiments_Qwen3-8B-base-latvian-s1k-full-sft,,,,,19.166666666666668
